propertyID,address,yearBuilt,type,size,baNo,brNo
97579584,15 Central Park West 3C,2007,condo,2532,3,2
33291296,100 Riverside Blvd 9B,2012,condo,814,1,1
17994859,225 East 19th Street 201,2016,condo,830,1,1
24001227,173-175 Riverside Drive 11D,2018,co-op,3000,4,3
15003036,80 John Street 14C,2005,condo,687,1,0
73586855,139 Norfolk Street N/A,2014,co-op,500,1,1
61257938,246 East 51st Street 22,2013,co-op,575,1,1
31712945,520 East 72nd Street 3E,2012,co-op,450,1,0
76343718,100 Barclay st unit penthouse,2018,condo,14539,7,9
17457573,"Atelier, 635 West 42nd St, 44H - Clinton, New York",2007,condo,900,1,1
40353722,"400 Park Avenue South, 27A - Midtown, New York",2014,condo,819,1,1
37644574,"KIPS BAY TOWERS, 343 East 30th Street, 11K",1961,condo,800,1,3
91155315,225 Rector Pl Apt 4T,1985,condo,760,1,1
82544869,509 W 122nd St Unit 13,1907,co-op,850,3,1
70560156,21 S End Ave Apt 629,1988,condo,1129,1,1
93776100,2 River Ter Apt 24A,2001,condo,3026,4,4
78490287,50 East 8th Street #5S,1952,co-op,725,1,1
